,ID,TypeGefailleerde,RegioS,Perioden,UitgesprokenFaillissementen_1
3557,3557,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2012 3e kwartaal,350.0
3558,3558,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2012 oktober,121.0
3559,3559,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2012 november,120.0
3560,3560,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2012 december,79.0
3561,3561,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2012 4e kwartaal,320.0
3562,3562,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2012,1289.0
3563,3563,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2013 januari,134.0
3564,3564,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2013 februari,145.0
3565,3565,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2013 maart,119.0
3566,3566,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2013 1e kwartaal,398.0
3567,3567,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2013 april,127.0
3568,3568,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2013 mei,145.0
3569,3569,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2013 juni,110.0
3570,3570,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2013 2e kwartaal,382.0
3571,3571,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2013 juli,137.0
3572,3572,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2013 augustus,104.0
3573,3573,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2013 september,92.0
3574,3574,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2013 3e kwartaal,333.0
3575,3575,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2013 oktober,181.0
3576,3576,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2013 november,121.0
3577,3577,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2013 december,123.0
3578,3578,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2013 4e kwartaal,425.0
3579,3579,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2013,1538.0
3580,3580,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2014 januari,108.0
3581,3581,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2014 februari,124.0
3582,3582,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2014 maart,105.0
3583,3583,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2014 1e kwartaal,337.0
3584,3584,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2014 april,130.0
3585,3585,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2014 mei,100.0
3586,3586,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2014 juni,78.0
3587,3587,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2014 2e kwartaal,308.0
3588,3588,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2014 juli,103.0
3589,3589,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2014 augustus,68.0
3590,3590,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2014 september,103.0
3591,3591,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2014 3e kwartaal,274.0
3592,3592,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2014 oktober,99.0
3593,3593,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2014 november,74.0
3594,3594,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2014 december,82.0
3595,3595,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2014 4e kwartaal,255.0
3596,3596,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2014,1174.0
3597,3597,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2015 januari,75.0
3598,3598,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2015 februari,74.0
3599,3599,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2015 maart,103.0
3600,3600,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2015 1e kwartaal,252.0
3601,3601,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2015 april,65.0
3602,3602,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2015 mei,59.0
3603,3603,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2015 juni,91.0
3604,3604,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2015 2e kwartaal,215.0
3605,3605,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2015 juli,74.0
3606,3606,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2015 augustus,57.0
3607,3607,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2015 september,87.0
3608,3608,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2015 3e kwartaal,218.0
3609,3609,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2015 oktober,86.0
3610,3610,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2015 november,63.0
3611,3611,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2015 december,98.0
3612,3612,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2015 4e kwartaal,247.0
3613,3613,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2015,932.0
3614,3614,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2016 januari,67.0
3615,3615,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2016 februari,100.0
3616,3616,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2016 maart,91.0
3617,3617,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2016 1e kwartaal,258.0
3618,3618,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2016 april,68.0
3619,3619,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2016 mei,93.0
3620,3620,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2016 juni,81.0
3621,3621,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2016 2e kwartaal,242.0
3622,3622,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2016 juli,69.0
3623,3623,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2016 augustus,69.0
3624,3624,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2016 september,59.0
3625,3625,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2016 3e kwartaal,197.0
3626,3626,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2016 oktober,57.0
3627,3627,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2016 november,68.0
3628,3628,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2016 december,58.0
3629,3629,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2016 4e kwartaal,183.0
3630,3630,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2016,880.0
3631,3631,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2017 januari,71.0
3632,3632,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2017 februari,67.0
3633,3633,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2017 maart,64.0
3634,3634,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2017 1e kwartaal,202.0
3635,3635,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2017 april,54.0
3636,3636,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2017 mei,57.0
3637,3637,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2017 juni,65.0
3638,3638,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2017 2e kwartaal,176.0
3639,3639,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2017 juli,36.0
3640,3640,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2017 augustus,31.0
3641,3641,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2017 september,47.0
3642,3642,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2017 3e kwartaal,114.0
3643,3643,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2017 oktober,57.0
3644,3644,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2017 november,46.0
3645,3645,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2017 december,42.0
3646,3646,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2017 4e kwartaal,145.0
3647,3647,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2017,637.0
3648,3648,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2018 januari,56.0
3649,3649,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2018 februari,46.0
3650,3650,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2018 maart,66.0
3651,3651,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2018 1e kwartaal,168.0
3652,3652,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2018 april,41.0
3653,3653,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2018 mei,70.0
3654,3654,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2018 juni,63.0
3655,3655,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2018 2e kwartaal,174.0
3656,3656,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2018 juli,55.0
3657,3657,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2018 augustus,58.0
3658,3658,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2018 september,48.0
3659,3659,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2018 3e kwartaal,161.0
3660,3660,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2018 oktober,49.0
3661,3661,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2018 november,66.0
3662,3662,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2018 december,39.0
3663,3663,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2018 4e kwartaal,154.0
3664,3664,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2018,657.0
3665,3665,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2019 januari,67.0
3666,3666,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2019 februari,56.0
3667,3667,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2019 maart,49.0
3668,3668,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2019 1e kwartaal,172.0
3669,3669,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2019 april,55.0
3670,3670,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2019 mei,47.0
3671,3671,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2019 juni,34.0
3672,3672,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2019 2e kwartaal,136.0
3673,3673,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2019 juli,77.0
3674,3674,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2019 augustus,47.0
3675,3675,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2019 september,47.0
3676,3676,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2019 3e kwartaal,171.0
3677,3677,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2019 oktober,60.0
3678,3678,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2019 november,51.0
3679,3679,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2019 december,59.0
3680,3680,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2019 4e kwartaal,170.0
3681,3681,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2019,649.0
3682,3682,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2020 januari,63.0
3683,3683,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2020 februari,46.0
3684,3684,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2020 maart,62.0
3685,3685,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2020 1e kwartaal,171.0
3686,3686,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2020 april,94.0
3687,3687,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2020 mei,57.0
3688,3688,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2020 juni,59.0
3689,3689,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2020 2e kwartaal,210.0
3690,3690,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2020 juli,45.0
3691,3691,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2020 augustus,38.0
3692,3692,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2020 september,42.0
3693,3693,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2020 3e kwartaal,125.0
3694,3694,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2020 oktober,26.0
3695,3695,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2020 november,50.0
3696,3696,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2020 december,44.0
3697,3697,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2020 4e kwartaal,120.0
3698,3698,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2020,626.0
3699,3699,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2021 januari,31.0
3700,3700,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2021 februari,34.0
3701,3701,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2021 maart,40.0
3702,3702,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2021 1e kwartaal,105.0
3703,3703,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2021 april,30.0
3704,3704,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2021 mei,25.0
3705,3705,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2021 juni,31.0
3706,3706,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2021 2e kwartaal,86.0
3707,3707,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2021 juli,25.0
3708,3708,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2021 augustus,20.0
3709,3709,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2021 september,28.0
3710,3710,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2021 3e kwartaal,73.0
3711,3711,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2021 oktober,16.0
3712,3712,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2021 november,40.0
3713,3713,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2021 december,14.0
3714,3714,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2021 4e kwartaal,70.0
3715,3715,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2021,334.0
3716,3716,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2022 januari,16.0
3717,3717,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2022 februari,29.0
3718,3718,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2022 maart,37.0
3719,3719,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2022 1e kwartaal,82.0
3720,3720,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2022 april,22.0
3721,3721,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2022 mei,56.0
3722,3722,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2022 juni,30.0
3723,3723,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2022 2e kwartaal,108.0
3724,3724,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2022 juli,31.0
3725,3725,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2022 augustus,42.0
3726,3726,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2022 september,27.0
3727,3727,"Bedrijven, instellingen en eenmanszaken",Noord-Holland,2022 3e kwartaal,100.0
3728,3728,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2009 januari,96.0
3729,3729,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2009 februari,102.0
3730,3730,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2009 maart,153.0
3731,3731,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2009 1e kwartaal,351.0
3732,3732,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2009 april,123.0
3733,3733,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2009 mei,129.0
3734,3734,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2009 juni,160.0
3735,3735,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2009 2e kwartaal,412.0
3736,3736,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2009 juli,123.0
3737,3737,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2009 augustus,116.0
3738,3738,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2009 september,136.0
3739,3739,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2009 3e kwartaal,375.0
3740,3740,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2009 oktober,133.0
3741,3741,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2009 november,122.0
3742,3742,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2009 december,167.0
3743,3743,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2009 4e kwartaal,422.0
3744,3744,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2009,1560.0
3745,3745,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2010 januari,117.0
3746,3746,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2010 februari,138.0
3747,3747,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2010 maart,168.0
3748,3748,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2010 1e kwartaal,423.0
3749,3749,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2010 april,125.0
3750,3750,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2010 mei,102.0
3751,3751,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2010 juni,157.0
3752,3752,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2010 2e kwartaal,384.0
3753,3753,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2010 juli,109.0
3754,3754,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2010 augustus,128.0
3755,3755,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2010 september,94.0
3756,3756,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2010 3e kwartaal,331.0
3757,3757,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2010 oktober,108.0
3758,3758,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2010 november,152.0
3759,3759,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2010 december,99.0
3760,3760,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2010 4e kwartaal,359.0
3761,3761,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2010,1497.0
3762,3762,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2011 januari,99.0
3763,3763,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2011 februari,138.0
3764,3764,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2011 maart,135.0
3765,3765,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2011 1e kwartaal,372.0
3766,3766,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2011 april,93.0
3767,3767,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2011 mei,139.0
3768,3768,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2011 juni,109.0
3769,3769,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2011 2e kwartaal,341.0
3770,3770,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2011 juli,123.0
3771,3771,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2011 augustus,118.0
3772,3772,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2011 september,138.0
3773,3773,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2011 3e kwartaal,379.0
3774,3774,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2011 oktober,102.0
3775,3775,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2011 november,137.0
3776,3776,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2011 december,98.0
3777,3777,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2011 4e kwartaal,337.0
3778,3778,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2011,1429.0
3779,3779,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2012 januari,147.0
3780,3780,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2012 februari,116.0
3781,3781,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2012 maart,144.0
3782,3782,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2012 1e kwartaal,407.0
3783,3783,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2012 april,108.0
3784,3784,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2012 mei,137.0
3785,3785,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2012 juni,126.0
3786,3786,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2012 2e kwartaal,371.0
3787,3787,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2012 juli,139.0
3788,3788,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2012 augustus,95.0
3789,3789,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2012 september,128.0
3790,3790,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2012 3e kwartaal,362.0
3791,3791,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2012 oktober,150.0
3792,3792,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2012 november,113.0
3793,3793,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2012 december,149.0
3794,3794,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2012 4e kwartaal,412.0
3795,3795,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2012,1552.0
3796,3796,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2013 januari,148.0
3797,3797,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2013 februari,141.0
3798,3798,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2013 maart,135.0
3799,3799,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2013 1e kwartaal,424.0
3800,3800,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2013 april,139.0
3801,3801,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2013 mei,173.0
3802,3802,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2013 juni,143.0
3803,3803,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2013 2e kwartaal,455.0
3804,3804,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2013 juli,180.0
3805,3805,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2013 augustus,156.0
3806,3806,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2013 september,136.0
3807,3807,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2013 3e kwartaal,472.0
3808,3808,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2013 oktober,154.0
3809,3809,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2013 november,106.0
3810,3810,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2013 december,147.0
3811,3811,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2013 4e kwartaal,407.0
3812,3812,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2013,1758.0
3813,3813,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2014 januari,119.0
3814,3814,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2014 februari,126.0
3815,3815,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2014 maart,121.0
3816,3816,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2014 1e kwartaal,366.0
3817,3817,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2014 april,174.0
3818,3818,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2014 mei,132.0
3819,3819,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2014 juni,104.0
3820,3820,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2014 2e kwartaal,410.0
3821,3821,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2014 juli,122.0
3822,3822,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2014 augustus,95.0
3823,3823,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2014 september,129.0
3824,3824,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2014 3e kwartaal,346.0
3825,3825,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2014 oktober,107.0
3826,3826,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2014 november,115.0
3827,3827,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2014 december,95.0
3828,3828,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2014 4e kwartaal,317.0
3829,3829,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2014,1439.0
3830,3830,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2015 januari,110.0
3831,3831,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2015 februari,101.0
3832,3832,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2015 maart,134.0
3833,3833,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2015 1e kwartaal,345.0
3834,3834,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2015 april,83.0
3835,3835,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2015 mei,77.0
3836,3836,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2015 juni,118.0
3837,3837,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2015 2e kwartaal,278.0
3838,3838,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2015 juli,87.0
3839,3839,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2015 augustus,93.0
3840,3840,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2015 september,63.0
3841,3841,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2015 3e kwartaal,243.0
3842,3842,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2015 oktober,81.0
3843,3843,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2015 november,124.0
3844,3844,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2015 december,114.0
3845,3845,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2015 4e kwartaal,319.0
3846,3846,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2015,1185.0
3847,3847,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2016 januari,83.0
3848,3848,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2016 februari,104.0
3849,3849,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2016 maart,77.0
3850,3850,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2016 1e kwartaal,264.0
3851,3851,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2016 april,78.0
3852,3852,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2016 mei,80.0
3853,3853,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2016 juni,70.0
3854,3854,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2016 2e kwartaal,228.0
3855,3855,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2016 juli,79.0
3856,3856,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2016 augustus,58.0
3857,3857,"Bedrijven, instellingen en eenmanszaken",Zuid-Holland,2016 september,74.0
