"GemNaam","2021 ( duizend euro)","2020 ( duizend euro)"
"Middelburg (Z.)","321,4","271,2"
"Reimerswaal","285,4","241,9"
"Terneuzen","252,3","207,8"
"Tholen","264,9","238,3"
"Veere","373,0","381,9"
"Vlissingen","247,8","207,9"
"De Ronde Venen","516,8","503,6"
"Tytsjerksteradiel","295,3","257,9"
"Asten","379,7","342,3"
"Baarle-Nassau","366,3","314,5"
"Bergen op Zoom","307,4","278,8"
"Best","414,4","364,5"
"Boekel","366,4","325,5"
"Boxmeer","376,1","306,2"
"Boxtel","404,4","318,5"
"Breda","427,3","378,9"
"Deurne","375,1","339,8"
"Pekela","200,5","164,1"
"Dongen","355,0","303,6"
"Eersel","470,1","382,9"
"Eindhoven","367,0","344,0"
"Etten-Leur","364,9","340,7"
"Geertruidenberg","352,3","307,9"
"Gilze en Rijen","357,4","334,9"
"Goirle","447,2","380,8"
"Grave","329,5","299,0"
"Helmond","339,8","305,8"
"s-Hertogenbosch","412,2","371,1"
"Heusden","411,9","372,0"
"Hilvarenbeek","474,6","403,9"
"Loon op Zand","362,5","312,1"
"Mill en Sint Hubert","411,1","332,7"
"Nuenen, Gerwen en Nederwetten","470,2","410,5"
"Oirschot","463,1","394,9"
"Oisterwijk","540,5","407,8"
"Oosterhout","372,1","295,1"
"Oss","353,7","298,4"
"Rucphen","379,7","314,9"
"Sint-Michielsgestel","491,5","433,7"
"Someren","378,2","341,6"
"Son en Breugel","477,1","387,4"
"Steenbergen","325,1","258,6"
"Waterland","498,2","448,4"
"Tilburg","342,6","293,7"
"Uden","372,9","327,0"
"Valkenswaard","403,7","363,9"
"Veldhoven","435,7","384,5"
"Vught","555,8","482,1"
"Waalre","563,1","438,8"
"Waalwijk","364,0","324,8"
"Woensdrecht","333,0","296,7"
"Zundert","381,3","324,8"
"Wormerland","411,7","353,4"
"Landgraaf","257,7","217,6"
"Beek (L.)","297,8","255,9"
"Beesel","290,0","268,0"
"Bergen (L.)","301,2","275,1"
"Brunssum","230,8","203,3"
"Gennep","333,7","302,1"
"Heerlen","230,6","202,4"
"Kerkrade","216,6","194,1"
"Maastricht","353,6","316,7"
"Meerssen","355,9","313,3"
"Mook en Middelaar","453,0","362,1"
"Nederweert","383,2","322,0"
"Roermond","319,0","268,5"
"Simpelveld","288,5","221,4"
"Stein (L)","280,0","254,8"
"Vaals","284,2","237,2"
"Venlo","304,0","265,9"
"Venray","303,8","280,9"
"Voerendaal","319,7","295,2"
"Weert","330,6","286,7"
"Valkenburg a/d Geul","371,1","313,2"
"Lelystad","332,2","273,1"
"Horst aan de Maas","327,7","296,9"
"Oude IJsselstreek","309,7","281,2"
"Teylingen","488,7","406,2"
"Utrechtse Heuvelrug","562,9","500,4"
"Oost Gelre","313,3","268,2"
"Koggenland","388,6","340,4"
"Lansingerland","468,2","427,7"
"Leudal","324,3","289,0"
"Maasgouw","304,4","268,4"
"Gemert-Bakel","397,3","354,1"
"Halderberge","353,2","316,9"
"Heeze-Leende","433,5","393,2"
"Laarbeek","419,8","334,9"
"Reusel-De Mierden","402,4","357,2"
"Roerdalen","306,1","252,9"
"Roosendaal","315,7","284,0"
"Schouwen-Duiveland","371,4","316,2"
"Aa en Hunze","393,8","303,8"
"Borger-Odoorn","305,8","276,3"
"Cuijk","326,1","287,7"
"Landerd","433,8","381,6"
"De Wolden","390,8","319,9"
"Noord-Beveland","326,9","302,1"
"Wijdemeren","608,9","511,0"
"Noordenveld","355,5","304,2"
"Twenterand","309,7","273,0"
"Westerveld","386,7","312,6"
"Sint Anthonis","410,6","323,2"
"Lingewaard","390,3","330,9"
"Cranendonck","344,7","317,3"
"Steenwijkerland","333,7","285,8"
"Moerdijk","343,6","286,0"
"Echt-Susteren","286,4","254,5"
"Sluis","294,4","268,4"
"Drimmelen","372,2","300,3"
"Bernheze","425,4","368,2"
"Alphen-Chaam","466,1","390,4"
"Bergeijk","402,5","374,0"
"Bladel","409,3","358,8"
"Gulpen-Wittem","354,9","294,2"
"Tynaarlo","411,6","350,5"
"Midden-Drenthe","349,6","300,4"
"Overbetuwe","422,5","350,0"
"Hof van Twente","354,7","299,3"
"Neder-Betuwe","397,6","333,2"
"Rijssen-Holten","342,8","317,6"
"Geldrop-Mierlo","371,3","353,7"
"Olst-Wijhe","352,0","317,9"
"Dinkelland","343,8","315,5"
"Westland","418,8","355,9"
"Midden-Delfland","428,3","413,8"
"Berkelland","339,7","302,4"
"Bronckhorst","424,6","366,8"
"Sittard-Geleen","266,4","227,2"
"Kaag en Braassem","441,2","383,7"
"Dantumadiel","290,6","257,9"
"Zuidplas","429,9","357,1"
"Peel en Maas","325,2","295,2"
"Oldambt","260,1","199,6"
"Zwartewaterland","292,0","271,6"
"Súdwest Fryslân","297,0","264,6"
"Bodegraven-Reeuwijk","429,3","356,6"
"Eijsden-Margraten","386,1","331,9"
"Stichtse Vecht","495,1","439,3"
"Hollands Kroon","302,6","256,8"
"Leidschendam-Voorburg","432,3","374,1"
"Goeree-Overflakkee","344,0","308,0"
"Pijnacker-Nootdorp","467,1","412,3"
"Nissewaard","297,0","266,8"
"Krimpenerwaard","386,4","338,2"
"De Fryske Marren","344,4","311,9"
"Gooise Meren","647,1","551,0"
"Berg en Dal","377,6","340,2"
"Meierijstad","391,1","349,8"
"Waadhoeke","247,7","218,1"
"Westerwolde","288,2","236,9"
"Midden-Groningen","282,7","228,6"
"Beekdaelen","313,2","274,9"
"Montferland","337,6","299,1"
"Altena","357,8","319,8"
"West Betuwe","426,5","358,1"
"Vijfheerenlanden","385,8","329,6"
"Hoeksche Waard","364,8","329,8"
"Het Hogeland","251,8","200,5"
"Westerkwartier","303,5","274,3"
"Noardeast-Fryslân","253,8","215,5"
"Molenlanden","373,6","337,4"
"Eemsdelta","223,1",""
"Bron: CBS, Kadaster"
